-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-1.56173 -1.15713 9.98679
-0.512416 -0.463755 3.75582
-0.519533 -0.4583 3.72934
-0.516811 -0.453794 3.66196
-0.523118 -0.450562 3.63084
-0.526724 -0.446749 3.58329
-0.530532 -0.446066 3.53258
-1.20547 -0.985259 9.98551
-0.539397 -0.44864 3.46663
-0.548091 -0.458352 3.46401
-0.534806 -0.438716 3.41289
-0.500706 -0.401934 3.38117
-0.445046 -0.382171 3.39177
-0.395445 -0.377952 3.73658
-0.32843 -0.387042 3.36133
-0.291348 -0.408393 3.33998
-0.285077 -0.435132 3.3326
-0.292569 -0.463627 3.32226
-0.305514 -0.494993 3.32911
-0.554339 -1.78063 9.98592
-0.347342 -0.581676 3.59215
-0.349748 -0.59227 3.25638
-0.366101 -0.625542 3.2527
-0.38445 -0.659326 3.26626
-0.413813 -0.690511 3.38345
-0.98856 -3.11732 9.98739
-0.439353 -0.729171 3.20821
-0.452114 -0.746326 3.16829
-0.474731 -0.771252 3.17969
-0.929153 -2.223 9.82966
-0.513885 -0.802572 3.17895
-0.534974 -0.816187 3.16951
-1.04362 -2.17047 8.89779
-0.574879 -0.836528 3.14482
-0.584588 -0.778051 2.99917
-0.613547 -0.862021 3.13029
-0.616621 -0.789801 2.95659
-0.628089 -0.788644 2.92824
-0.659548 -0.878923 3.09825
-0.659563 -0.804767 2.94358
-0.660895 -0.793981 2.91872
-0.665614 -0.841675 3.07334
-0.633744 -0.786419 3.09564
-0.595582 -0.697773 3.10514
-0.532702 -0.534155 2.94564
-0.473385 -0.54775 3.14083
-0.409923 -0.439945 2.95249
-0.390353 -0.414651 2.88437
-0.386137 -0.404744 2.8603
-0.385298 -0.396532 2.81229
-0.388451 -0.386443 2.77294
-0.390213 -0.375441 2.7398
-0.394476 -0.364504 2.71113
-0.395034 -0.347861 2.65158
-0.41082 -0.415408 3.05672
-0.397786 -0.314957 2.59332
-0.400299 -0.29398 2.53566
-0.414058 -0.348315 3.01023
-0.402977 -0.25226 2.4921
-0.404997 -0.230946 2.4708
